Year,Nominee,Movie,Winner
2002,Michael Caine,The Quiet American,False
2002,Daniel Day-Lewis,Gangs of New York,False
2002,Jack Nicholson,About Schmidt,False
2003,Sean Penn ‡,Mystic River,True
2003,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,False
2003,Ben Kingsley,House of Sand and Fog,False
2003,Jude Law,Cold Mountain,False
2003,Bill Murray,Lost in Translation,False
2004,Jamie Foxx ‡,Ray,True
2004,Don Cheadle,Hotel Rwanda,False
2004,Johnny Depp,Finding Neverland,False
2004,Leonardo DiCaprio,The Aviator,False
2004,Clint Eastwood,Million Dollar Baby,False
2005,Philip Seymour Hoffman ‡,Capote,True
2005,Terrence Howard,Hustle & Flow,False
2005,Heath Ledger,Brokeback Mountain,False
2005,Joaquin Phoenix,Walk the Line,False
2005,David Strathairn,"Good Night, and Good Luck.",False
2006,Forest Whitaker ‡,The Last King of Scotland,True
2006,Leonardo DiCaprio,Blood Diamond,False
2006,Ryan Gosling,Half Nelson,False
2006,Peter O'Toole,Venus,False
2006,Will Smith,The Pursuit of Happyness,False
2007,Daniel Day-Lewis ‡,There Will Be Blood,True
2007,George Clooney,Michael Clayton,False
2007,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,False
2007,Tommy Lee Jones,In the Valley of Elah,False
2007,Viggo Mortensen,Eastern Promises,False
2008,Sean Penn ‡,Milk,True
2008,Richard Jenkins,The Visitor,False
2008,Frank Langella,Frost/Nixon,False
2008,Brad Pitt,The Curious Case of Benjamin Button,False
2008,Mickey Rourke,The Wrestler,False
2009,Jeff Bridges ‡,Crazy Heart,True
2009,George Clooney,Up in the Air,False
2009,Colin Firth,A Single Man,False
2009,Morgan Freeman,Invictus,False
2009,Jeremy Renner,The Hurt Locker,False
2010,Colin Firth ‡,The King's Speech,True
2010,Javier Bardem,Biutiful,False
2010,Jeff Bridges,True Grit,False
2010,Jesse Eisenberg,The Social Network,False
2010,James Franco,127 Hours,False
2011,Jean Dujardin ‡,The Artist,True
2011,Demián Bichir,A Better Life,False
2011,George Clooney,The Descendants,False
2011,Gary Oldman,Tinker Tailor Soldier Spy,False
2011,Brad Pitt,Moneyball,False
2012,Daniel Day-Lewis ‡,Lincoln,True
2012,Bradley Cooper,Silver Linings Playbook,False
2012,Hugh Jackman,Les Misérables,False
2012,Joaquin Phoenix,The Master,False
2012,Denzel Washington,Flight,False
2013,Matthew McConaughey ‡,Dallas Buyers Club,True
2013,Christian Bale,American Hustle,False
2013,Bruce Dern,Nebraska,False
2013,Leonardo DiCaprio,The Wolf of Wall Street,False
2013,Chiwetel Ejiofor,12 Years a Slave,False
2014,Eddie Redmayne ‡,The Theory of Everything,True
2014,Steve Carell,Foxcatcher,False
2014,Bradley Cooper,American Sniper,False
2014,Benedict Cumberbatch,The Imitation Game,False
2014,Michael Keaton,Birdman,False
2015,Leonardo DiCaprio ‡,The Revenant,True
2015,Bryan Cranston,Trumbo,False
2015,Matt Damon,The Martian,False
2015,Michael Fassbender,Steve Jobs,False
2015,Eddie Redmayne,The Danish Girl,False
2016,Casey Affleck ‡,Manchester by the Sea,True
2016,Andrew Garfield,Hacksaw Ridge,False
2016,Ryan Gosling,La La Land,False
2016,Viggo Mortensen,Captain Fantastic,False
2016,Denzel Washington,Fences,False
2017,Gary Oldman ‡,Darkest Hour,True
2017,Timothée Chalamet,Call Me by Your Name,False
2017,Daniel Day-Lewis,Phantom Thread,False
2017,Daniel Kaluuya,Get Out,False
2017,Denzel Washington,"Roman J. Israel, Esq.",False
2018,Rami Malek ‡,Bohemian Rhapsody,True
2018,Christian Bale,Vice,False
2018,Bradley Cooper,A Star Is Born,False
2018,Willem Dafoe,At Eternity's Gate,False
2018,Viggo Mortensen,Green Book,False
2019,Joaquin Phoenix ‡,Joker,True
2019,Antonio Banderas,Pain and Glory,False
2019,Leonardo DiCaprio,Once Upon a Time in Hollywood,False
2019,Adam Driver,Marriage Story,False
2019,Jonathan Pryce,The Two Popes,False
2019,Ref.,,True
2020/21[101],Anthony Hopkins,The Father,True
2020/21[101],Riz Ahmed,Sound of Metal,False
2020/21[101],Chadwick Boseman †,Ma Rainey's Black Bottom,False
2020/21[101],Gary Oldman,Mank,False
2020/21[101],Steven Yeun,Minari,False
2021(94th),Will Smith,King Richard,True
2021(94th),Javier Bardem,Being the Ricardos,False
2021(94th),Benedict Cumberbatch,The Power of the Dog,False
2021(94th),Andrew Garfield,"Tick, Tick... Boom!",False
2021(94th),Denzel Washington,The Tragedy of Macbeth,False
2022(95th),Brendan Fraser,The Whale,True
2022(95th),Austin Butler,Elvis,False
2022(95th),Colin Farrell,The Banshees of Inisherin,False
2022(95th),Paul Mescal,Aftersun,False
2022(95th),Bill Nighy,Living,False
2023(96th),Cillian Murphy,Oppenheimer,True
2023(96th),Bradley Cooper,Maestro,False
2023(96th),Colman Domingo,Rustin,False
2023(96th),Paul Giamatti,The Holdovers,False
2023(96th),Jeffrey Wright,American Fiction,False
2024(97th),Adrien Brody,The Brutalist,True
2024(97th),Timothée Chalamet,A Complete Unknown,False
2024(97th),Colman Domingo,Sing Sing,False
2024(97th),Ralph Fiennes,Conclave,False
2024(97th),Sebastian Stan,The Apprentice,False
2025(98th),Timothée Chalamet,Marty Supreme,False
2025(98th),Leonardo DiCaprio,One Battle After Another,False
2025(98th),Ethan Hawke,Blue Moon,False
2025(98th),Michael B. Jordan,Sinners,False
2025(98th),Wagner Moura,The Secret Agent,False
