Year,Title,Winner
1992(65th),Howards End,FALSE
1992(65th),Scent of a Woman,FALSE
1993(66th),Schindler's List,TRUE
1993(66th),The Fugitive,FALSE
1993(66th),In the Name of the Father,FALSE
1993(66th),The Piano,FALSE
1993(66th),The Remains of the Day,FALSE
1994(67th),Forrest Gump,TRUE
1994(67th),Four Weddings and a Funeral,FALSE
1994(67th),Pulp Fiction,FALSE
1994(67th),Quiz Show,FALSE
1994(67th),The Shawshank Redemption,FALSE
1995(68th),Braveheart,TRUE
1995(68th),Apollo 13,FALSE
1995(68th),Babe,FALSE
1995(68th),Il Postino: The Postman,FALSE
1995(68th),Sense and Sensibility,FALSE
1996(69th),The English Patient,TRUE
1996(69th),Fargo,FALSE
1996(69th),Jerry Maguire,FALSE
1996(69th),Secrets & Lies,FALSE
1996(69th),Shine,FALSE
1997(70th),Titanic,TRUE
1997(70th),As Good as It Gets,FALSE
1997(70th),The Full Monty,FALSE
1997(70th),Good Will Hunting,FALSE
1997(70th),L.A. Confidential,FALSE
1998(71st),Shakespeare in Love,TRUE
1998(71st),Elizabeth,FALSE
1998(71st),Life Is Beautiful,FALSE
1998(71st),Saving Private Ryan,FALSE
1998(71st),The Thin Red Line,FALSE
1999(72nd),American Beauty,TRUE
1999(72nd),The Cider House Rules,FALSE
1999(72nd),The Green Mile,FALSE
1999(72nd),The Insider,FALSE
1999(72nd),The Sixth Sense,FALSE
2000(73rd),Gladiator,TRUE
2000(73rd),Chocolat,FALSE
2000(73rd),"Crouching Tiger, Hidden Dragon",FALSE
2000(73rd),Erin Brockovich,FALSE
2000(73rd),Traffic,FALSE
2001(74th),A Beautiful Mind,TRUE
2001(74th),Gosford Park,FALSE
2001(74th),In the Bedroom,FALSE
2001(74th),The Lord of the Rings: The Fellowship of the Ring,FALSE
2001(74th),Moulin Rouge!,FALSE
2002(75th),Chicago,TRUE
2002(75th),Gangs of New York,FALSE
2002(75th),The Hours,FALSE
2002(75th),The Lord of the Rings: The Two Towers,FALSE
2002(75th),The Pianist,FALSE
2003(76th),The Lord of the Rings: The Return of the King,TRUE
2003(76th),Lost in Translation,FALSE
2003(76th),Master and Commander: The Far Side of the World,FALSE
2003(76th),Mystic River,FALSE
2003(76th),Seabiscuit,FALSE
2004(77th),Million Dollar Baby,TRUE
2004(77th),The Aviator,FALSE
2004(77th),Finding Neverland,FALSE
2004(77th),Ray,FALSE
2004(77th),Sideways,FALSE
2005(78th),Crash,TRUE
2005(78th),Brokeback Mountain,FALSE
2005(78th),Capote,FALSE
2005(78th),"Good Night, and Good Luck",FALSE
2005(78th),Munich,FALSE
2006(79th),The Departed,TRUE
2006(79th),Babel,FALSE
2006(79th),Letters from Iwo Jima,FALSE
2006(79th),Little Miss Sunshine,FALSE
2006(79th),The Queen,FALSE
2007(80th),No Country for Old Men,TRUE
2007(80th),Atonement,FALSE
2007(80th),Juno,FALSE
2007(80th),Michael Clayton,FALSE
2007(80th),There Will Be Blood,FALSE
2008(81st),Slumdog Millionaire,TRUE
2008(81st),The Curious Case of Benjamin Button,FALSE
2008(81st),Frost/Nixon,FALSE
2008(81st),Milk,FALSE
2008(81st),The Reader,FALSE
2009(82nd),The Hurt Locker,TRUE
2009(82nd),Avatar,FALSE
2009(82nd),The Blind Side,FALSE
2009(82nd),District 9,FALSE
2009(82nd),An Education,FALSE
2009(82nd),Inglourious Basterds,FALSE
2009(82nd),"Precious: Based on the Novel ""Push"" by Sapphire",FALSE
2009(82nd),A Serious Man,FALSE
2009(82nd),Up,FALSE
2009(82nd),Up in the Air,FALSE
2010(83rd),The King's Speech,TRUE
2010(83rd),Black Swan,FALSE
2010(83rd),The Fighter,FALSE
2010(83rd),Inception,FALSE
2010(83rd),The Kids Are All Right,FALSE
2010(83rd),127 Hours,FALSE
2010(83rd),The Social Network,FALSE
2010(83rd),Toy Story 3,FALSE
2010(83rd),True Grit,FALSE
2010(83rd),Winter's Bone,FALSE
2011(84th),The Artist,TRUE
2011(84th),The Descendants,FALSE
2011(84th),Extremely Loud & Incredibly Close,FALSE
2011(84th),The Help,FALSE
2011(84th),Hugo,FALSE
2011(84th),Midnight in Paris,FALSE
2011(84th),Moneyball,FALSE
2011(84th),The Tree of Life,FALSE
2011(84th),War Horse,FALSE
2012(85th),Argo,TRUE
2012(85th),Amour,FALSE
2012(85th),Beasts of the Southern Wild,FALSE
2012(85th),Django Unchained,FALSE
2012(85th),Life of Pi,FALSE
2012(85th),Lincoln,FALSE
2012(85th),Les Misérables,FALSE
2012(85th),Silver Linings Playbook,FALSE
2012(85th),Zero Dark Thirty,FALSE
2013(86th),12 Years a Slave,TRUE
2013(86th),American Hustle,FALSE
2013(86th),Captain Phillips,FALSE
2013(86th),Dallas Buyers Club,FALSE
2013(86th),Gravity,FALSE
2013(86th),Her,FALSE
2013(86th),Nebraska,FALSE
2013(86th),Philomena,FALSE
2013(86th),The Wolf of Wall Street,FALSE
2014(87th),Birdman or (The Unexpected Virtue of Ignorance),TRUE
2014(87th),American Sniper,FALSE
2014(87th),Boyhood,FALSE
2014(87th),The Grand Budapest Hotel,FALSE
2014(87th),The Imitation Game,FALSE
2014(87th),Selma,FALSE
2014(87th),The Theory of Everything,FALSE
2014(87th),Whiplash,FALSE
2015(88th),Spotlight,TRUE
2015(88th),The Big Short,FALSE
2015(88th),Bridge of Spies,FALSE
2015(88th),Brooklyn,FALSE
2015(88th),Mad Max: Fury Road,FALSE
2015(88th),The Martian,FALSE
2015(88th),The Revenant,FALSE
2015(88th),Room,FALSE
2016(89th),Moonlight,TRUE
2016(89th),Arrival,FALSE
2016(89th),Fences,FALSE
2016(89th),Hacksaw Ridge,FALSE
2016(89th),Hell or High Water,FALSE
2016(89th),Hidden Figures,FALSE
2016(89th),La La Land,FALSE
2016(89th),Lion,FALSE
2016(89th),Manchester by the Sea,FALSE
2017(90th),The Shape of Water,TRUE
2017(90th),Call Me by Your Name,FALSE
2017(90th),Darkest Hour,FALSE
2017(90th),Dunkirk,FALSE
2017(90th),Get Out,FALSE
2017(90th),Lady Bird,FALSE
2017(90th),Phantom Thread,FALSE
2017(90th),The Post,FALSE
2017(90th),"Three Billboards Outside Ebbing, Missouri",FALSE
2018(91st),Green Book,TRUE
2018(91st),Black Panther,FALSE
2018(91st),BlacKkKlansman,FALSE
2018(91st),Bohemian Rhapsody,FALSE
2018(91st),The Favourite,FALSE
2018(91st),Roma,FALSE
2018(91st),A Star Is Born,FALSE
2018(91st),Vice,FALSE
2019(92nd),Parasite,TRUE
2019(92nd),Ford v Ferrari,FALSE
2019(92nd),The Irishman,FALSE
2019(92nd),Jojo Rabbit,FALSE
2019(92nd),Joker,FALSE
2019(92nd),Little Women,FALSE
2019(92nd),Marriage Story,FALSE
2019(92nd),1917,FALSE
2019(92nd),Once Upon a Time in Hollywood,FALSE
2020(93rd),Nomadland,TRUE
2020(93rd),The Father,FALSE
2020(93rd),Judas and the Black Messiah,FALSE
2020(93rd),Mank,FALSE
2020(93rd),Minari,FALSE
2020(93rd),Promising Young Woman,FALSE
2020(93rd),Sound of Metal,FALSE
2020(93rd),The Trial of the Chicago 7,FALSE
2021(94th),CODA,TRUE
2021(94th),Belfast,FALSE
2021(94th),Don't Look Up,FALSE
2021(94th),Drive My Car,FALSE
2021(94th),Dune,FALSE
2021(94th),King Richard,FALSE
2021(94th),Licorice Pizza,FALSE
2021(94th),Nightmare Alley,FALSE
2021(94th),The Power of the Dog,FALSE
2021(94th),West Side Story,FALSE
2022(95th),Everything Everywhere All at Once,TRUE
2022(95th),All Quiet on the Western Front,FALSE
2022(95th),Avatar: The Way of Water,FALSE
2022(95th),The Banshees of Inisherin,FALSE
2022(95th),Elvis,FALSE
2022(95th),The Fabelmans,FALSE
2022(95th),Tár,FALSE
2022(95th),Top Gun: Maverick,FALSE
2022(95th),Triangle of Sadness,FALSE
2022(95th),Women Talking,FALSE
2023(96th),Oppenheimer,TRUE
2023(96th),American Fiction,FALSE
2023(96th),Anatomy of a Fall,FALSE
2023(96th),Barbie,FALSE
2023(96th),The Holdovers,FALSE
2023(96th),Killers of the Flower Moon,FALSE
2023(96th),Maestro,FALSE
2023(96th),Past Lives,FALSE
2023(96th),Poor Things,FALSE
2023(96th),The Zone of Interest,FALSE
2024(97th),Anora,TRUE
2024(97th),The Brutalist,FALSE
2024(97th),A Complete Unknown,FALSE
2024(97th),Conclave,FALSE
2024(97th),Dune: Part Two,FALSE
2024(97th),Emilia Pérez,FALSE
2024(97th),I'm Still Here,FALSE
2024(97th),Nickel Boys,FALSE
2024(97th),The Substance,FALSE
2024(97th),Wicked,FALSE
2025(98th),Bugonia,FALSE
2025(98th),F1,FALSE
2025(98th),Frankenstein,FALSE
2025(98th),Hamnet,FALSE
2025(98th),Marty Supreme,FALSE
2025(98th),One Battle After Another,FALSE
2025(98th),The Secret Agent,FALSE
2025(98th),Sentimental Value,FALSE
2025(98th),Sinners,FALSE
2025(98th),Train Dreams,FALSE
