Year,Nominee,Movie,Winner
1977(50th),Shirley MacLaine,The Turning Point,False
1977(50th),Marsha Mason,The Goodbye Girl,False
1978(51st),Jane Fonda ‡,Coming Home,True
1978(51st),Ingrid Bergman,Autumn Sonata,False
1978(51st),Ellen Burstyn,"Same Time, Next Year",False
1978(51st),Jill Clayburgh,An Unmarried Woman,False
1978(51st),Geraldine Page,Interiors,False
1979(52nd),Sally Field ‡,Norma Rae,True
1979(52nd),Jill Clayburgh,Starting Over,False
1979(52nd),Jane Fonda,The China Syndrome,False
1979(52nd),Marsha Mason,Chapter Two,False
1979(52nd),Bette Midler,The Rose,False
1980(53rd),Sissy Spacek ‡,Coal Miner's Daughter,True
1980(53rd),Ellen Burstyn,Resurrection,False
1980(53rd),Goldie Hawn,Private Benjamin,False
1980(53rd),Mary Tyler Moore,Ordinary People,False
1980(53rd),Gena Rowlands,Gloria,False
1981(54th),Katharine Hepburn ‡,On Golden Pond,True
1981(54th),Diane Keaton,Reds,False
1981(54th),Marsha Mason,Only When I Laugh,False
1981(54th),Susan Sarandon,Atlantic City,False
1981(54th),Meryl Streep,The French Lieutenant's Woman,False
1982(55th),Meryl Streep ‡,Sophie's Choice,True
1982(55th),Julie Andrews,Victor/Victoria,False
1982(55th),Jessica Lange,Frances,False
1982(55th),Sissy Spacek,Missing,False
1982(55th),Debra Winger,An Officer and a Gentleman,False
1983(56th),Shirley MacLaine ‡,Terms of Endearment,True
1983(56th),Jane Alexander,Testament,False
1983(56th),Meryl Streep,Silkwood,False
1983(56th),Julie Walters,Educating Rita,False
1983(56th),Debra Winger,Terms of Endearment,False
1984(57th),Sally Field ‡,Places in the Heart,True
1984(57th),Judy Davis,A Passage to India,False
1984(57th),Jessica Lange,Country,False
1984(57th),Vanessa Redgrave,The Bostonians,False
1984(57th),Sissy Spacek,The River,False
1985(58th),Geraldine Page ‡,The Trip to Bountiful,True
1985(58th),Anne Bancroft,Agnes of God,False
1985(58th),Whoopi Goldberg,The Color Purple,False
1985(58th),Jessica Lange,Sweet Dreams,False
1985(58th),Meryl Streep,Out of Africa,False
1986(59th),Marlee Matlin ‡,Children of a Lesser God,True
1986(59th),Jane Fonda,The Morning After,False
1986(59th),Sissy Spacek,Crimes of the Heart,False
1986(59th),Kathleen Turner,Peggy Sue Got Married,False
1986(59th),Sigourney Weaver,Aliens,False
1987(60th),Cher ‡,Moonstruck,True
1987(60th),Glenn Close,Fatal Attraction,False
1987(60th),Holly Hunter,Broadcast News,False
1987(60th),Sally Kirkland,Anna,False
1987(60th),Meryl Streep,Ironweed,False
1988(61st),Jodie Foster ‡,The Accused,True
1988(61st),Glenn Close,Dangerous Liaisons,False
1988(61st),Melanie Griffith,Working Girl,False
1988(61st),Meryl Streep,A Cry in the Dark,False
1988(61st),Sigourney Weaver,Gorillas in the Mist,False
1989(62nd),Jessica Tandy ‡,Driving Miss Daisy,True
1989(62nd),Isabelle Adjani,Camille Claudel,False
1989(62nd),Pauline Collins,Shirley Valentine,False
1989(62nd),Jessica Lange,Music Box,False
1989(62nd),Michelle Pfeiffer,The Fabulous Baker Boys,False
1990(63rd),Kathy Bates ‡,Misery,True
1990(63rd),Anjelica Huston,The Grifters,False
1990(63rd),Julia Roberts,Pretty Woman,False
1990(63rd),Meryl Streep,Postcards from the Edge,False
1990(63rd),Joanne Woodward,Mr. & Mrs. Bridge,False
1991(64th),Jodie Foster ‡,The Silence of the Lambs,True
1991(64th),Geena Davis,Thelma & Louise,False
1991(64th),Laura Dern,Rambling Rose,False
1991(64th),Bette Midler,For the Boys,False
1991(64th),Susan Sarandon,Thelma & Louise,False
1992(65th),Emma Thompson ‡,Howards End,True
1992(65th),Catherine Deneuve,Indochine,False
1992(65th),Mary McDonnell,Passion Fish,False
1992(65th),Michelle Pfeiffer,Love Field,False
1992(65th),Susan Sarandon,Lorenzo's Oil,False
1993(66th),Holly Hunter ‡,The Piano,True
1993(66th),Angela Bassett,What's Love Got to Do with It,False
1993(66th),Stockard Channing,Six Degrees of Separation,False
1993(66th),Emma Thompson,The Remains of the Day,False
1993(66th),Debra Winger,Shadowlands,False
1994(67th),Jessica Lange ‡,Blue Sky,True
1994(67th),Jodie Foster,Nell,False
1994(67th),Miranda Richardson,Tom & Viv,False
1994(67th),Winona Ryder,Little Women,False
1994(67th),Susan Sarandon,The Client,False
1995(68th),Susan Sarandon ‡,Dead Man Walking,True
1995(68th),Elisabeth Shue,Leaving Las Vegas,False
1995(68th),Sharon Stone,Casino,False
1995(68th),Meryl Streep,The Bridges of Madison County,False
1995(68th),Emma Thompson,Sense and Sensibility,False
1996(69th),Frances McDormand ‡,Fargo,True
1996(69th),Brenda Blethyn,Secrets & Lies,False
1996(69th),Diane Keaton,Marvin's Room,False
1996(69th),Kristin Scott Thomas,The English Patient,False
1996(69th),Emily Watson,Breaking the Waves,False
1997(70th),Helen Hunt ‡,As Good as It Gets,True
1997(70th),Helena Bonham Carter,The Wings of the Dove,False
1997(70th),Julie Christie,Afterglow,False
1997(70th),Judi Dench,Mrs Brown,False
1997(70th),Kate Winslet,Titanic,False
1998(71st),Gwyneth Paltrow ‡,Shakespeare in Love,True
1998(71st),Cate Blanchett,Elizabeth,False
1998(71st),Fernanda Montenegro,Central Station,False
1998(71st),Meryl Streep,One True Thing,False
1998(71st),Emily Watson,Hilary and Jackie,False
1999(72nd),Hilary Swank ‡,Boys Don't Cry,True
1999(72nd),Annette Bening,American Beauty,False
1999(72nd),Janet McTeer,Tumbleweeds,False
1999(72nd),Julianne Moore,The End of the Affair,False
1999(72nd),Meryl Streep,Music of the Heart,False
2000(73rd),Julia Roberts ‡,Erin Brockovich,True
2000(73rd),Joan Allen,The Contender,False
2000(73rd),Juliette Binoche,Chocolat,False
2000(73rd),Ellen Burstyn,Requiem for a Dream,False
2000(73rd),Laura Linney,You Can Count on Me,False
2001(74th),Halle Berry ‡,Monster's Ball,True
2001(74th),Judi Dench,Iris,False
2001(74th),Nicole Kidman,Moulin Rouge!,False
2001(74th),Sissy Spacek,In the Bedroom,False
2001(74th),Renée Zellweger,Bridget Jones's Diary,False
2002(75th),Nicole Kidman ‡,The Hours,True
2002(75th),Salma Hayek,Frida,False
2002(75th),Diane Lane,Unfaithful,False
2002(75th),Julianne Moore,Far from Heaven,False
2002(75th),Renée Zellweger,Chicago,False
2003(76th),Charlize Theron ‡,Monster,True
2003(76th),Keisha Castle-Hughes,Whale Rider,False
2003(76th),Diane Keaton,Something's Gotta Give,False
2003(76th),Samantha Morton,In America,False
2003(76th),Naomi Watts,21 Grams,False
2004(77th),Hilary Swank ‡,Million Dollar Baby,True
2004(77th),Annette Bening,Being Julia,False
2004(77th),Catalina Sandino Moreno,Maria Full of Grace,False
2004(77th),Imelda Staunton,Vera Drake,False
2004(77th),Kate Winslet,Eternal Sunshine of the Spotless Mind,False
2005(78th),Reese Witherspoon ‡,Walk the Line,True
2005(78th),Judi Dench,Mrs Henderson Presents,False
2005(78th),Felicity Huffman,Transamerica,False
2005(78th),Keira Knightley,Pride & Prejudice,False
2005(78th),Charlize Theron,North Country,False
2006(79th),Helen Mirren ‡,The Queen,True
